,SoS091a_CP04272_S249_L001,SoS055a_CP04272_S217_L001,UG006_CP04272_S262_L001,SoS042a_CP04272_S215_L001,SoS036a_CP04272_S211_L001,9B1L_CP04272_S278_L001,SoS024a_CP04272_S197_L001,SoS070a_CP04272_S227_L001,SoS078b_CP04272_S236_L001,SoS017a_CP04272_S191_L001,SoS098b_CP04272_S252_L001,P060_CP04272_S338_L001,P006_CP04272_S287_L001,SoS002a_CP04272_S177_L001,P012_CP04272_S291_L001,P031_CP04272_S310_L001,SoS081a_CP04272_S241_L001,P043_CP04272_S322_L001,SoS008a_CP04272_S185_L001,P026_CP04272_S305_L001,UG004_CP04272_S260_L001,SoS025a_CP04272_S199_L001,SoS098a_CP04272_S251_L001,SoS079b_CP04272_S238_L001,SoS017b_CP04272_S192_L001,SoS008b_CP04272_S186_L001,SoS081b_CP04272_S242_L001,SoS014a_CP04272_S189_L001,P009_CP04272_S288_L001,SoS042b_CP04272_S216_L001,SoS065b_CP04272_S224_L001,UG005_CP04272_S261_L001,SoS035a_CP04272_S209_L001,P004_CP04272_S285_L001,P018_CP04272_S297_L001,UG001_CP04272_S257_L001,SoS006b_CP04272_S184_L001,2B1L_CP04272_S276_L001,SoS078a_CP04272_S235_L001,SoS006a_CP04272_S183_L001,P041_CP04272_S320_L001,SoS065a_CP04272_S223_L001,P024_CP04272_S303_L001,P033_CP04272_S312_L001,SoS036b_CP04272_S212_L001,P055_CP04272_S333_L001,P010_CP04272_S289_L001,P001_CP04272_S282_L001,P019_CP04272_S298_L001,SoS018a_CP04272_S193_L001,SoS091b_CP04272_S250_L001,SoS018b_CP04272_S194_L001,P015_CP04272_S294_L001,P036_CP04272_S315_L001,SoS005b_CP04272_S182_L001,P056_CP04272_S334_L001,P051_CP04272_S330_L001,SoS082b_CP04272_S244_L001,SoS039b_CP04272_S214_L001,P023_CP04272_S302_L001,P034_CP04272_S313_L001,SoS077a_CP04272_S233_L001,SoS011b_CP04272_S188_L001,SoS033a_CP04272_S207_L001,P003_CP04272_S284_L001,SoS077b_CP04272_S234_L001,P057_CP04272_S335_L001,SoS082a_CP04272_S243_L001,SoS075a_CP04272_S231_L001,SoS039a_CP04272_S213_L001,UG009_CP04272_S263_L001,SoS031b_CP04272_S206_L001,SoS014b_CP04272_S190_L001,SoS075b_CP04272_S232_L001,P046_CP04272_S325_L001,P017_CP04272_S296_L001,P021_CP04272_S300_L001,SoS004a_CP04272_S179_L001,16B1NL_CP04272_S343_L001,P044_CP04272_S323_L001,P053_CP04272_S332_L001,SoS005a_CP04272_S181_L001,SoS087b_CP04272_S248_L001,9B1NL_CP04272_S279_L001,SoS035b_CP04272_S210_L001,SoS025b_CP04272_S200_L001,P029_CP04272_S308_L001,P059_CP04272_S337_L001,P025_CP04272_S304_L001,SoS027b_CP04272_S202_L001,SoS085b_CP04272_S246_L001,SoS069a_CP04272_S225_L001,P040_CP04272_S319_L001,UG010_CP04272_S264_L001,P042_CP04272_S321_L001,P013_CP04272_S292_L001,SoS004b_CP04272_S180_L001,P058_CP04272_S336_L001,SoS011a_CP04272_S187_L001,SoS063b_CP04272_S222_L001,P038_CP04272_S317_L001,P050_CP04272_S329_L001,SoS063a_CP04272_S221_L001,P027_CP04272_S306_L001,P011_CP04272_S290_L001,P032_CP04272_S311_L001,SoS087a_CP04272_S247_L001,SoS073a_CP04272_S229_L001,P020_CP04272_S299_L001,SoS069b_CP04272_S226_L001,17B1NL_CP04272_S273_L001,SoS085a_CP04272_S245_L001,P005_CP04272_S286_L001,P048_CP04272_S327_L001,P045_CP04272_S324_L001,SoS080a_CP04272_S239_L001,SoS024b_CP04272_S198_L001,P037_CP04272_S316_L001,SoS070b_CP04272_S228_L001,P049_CP04272_S328_L001,SoS055b_CP04272_S218_L001,SoS060a_CP04272_S219_L001,SoS002b_CP04272_S178_L001,SoS023a_CP04272_S195_L001,SoS100a_CP04272_S255_L001,P022_CP04272_S301_L001,SoS060b_CP04272_S220_L001,P016_CP04272_S295_L001,P035_CP04272_S314_L001,SoS023b_CP04272_S196_L001,P047_CP04272_S326_L001,17B1L_CP04272_S344_L001,P002_CP04272_S283_L001,UG003_CP04272_S259_L001,SoS100b_CP04272_S256_L001,P039_CP04272_S318_L001,SoS079a_CP04272_S237_L001,P030_CP04272_S309_L001,2B1NL_CP04272_S277_L001,P028_CP04272_S307_L001,SoS099a_CP04272_S253_L001,SoS099b_CP04272_S254_L001,P052_CP04272_S331_L001,SoS080b_CP04272_S240_L001,UG002_CP04272_S258_L001,SoS073b_CP04272_S230_L001,P014_CP04272_S293_L001
rifampin phosphotransferase,5,28,15,1,34,40,3,11,5,119,30,12,125,6,36,0,42,1,0,8,17,48,9,5,178,75,169,32,3,9,1,15,20,0,34,10,17,2,4,15,18,26,128,24,99,0,50,27,4,70,43,140,4,85,36,58,3,7,2,18,7,2,4,3,2,0,0,11,54,13,17,14,23,36,5,31,8,49,254,154,5,56,45,66,100,3,0,2,0,11,231,5,31,15,60,0,17,8,6,16,10,40,19,17,3,36,31,14,50,12,69,15,20,0,2,36,8,21,3,0,12,242,1,11,15,42,46,7,2,27,0,144,3,23,5,2,16,2,23,19,12,3,29,108,19,1,18
tetracycline-resistant ribosomal protection protein,217,3508,809,1999,472,638,1264,4740,6722,3160,687,526,1377,3273,2357,35,1934,318,900,4244,1956,879,2015,3765,1891,3793,7635,999,66,5423,1557,1726,562,6,2238,2712,3318,1017,7471,2455,85,6792,5263,125,1601,2,3886,4564,13,3867,876,3407,74,80076,1362,4225,20,601,1958,429,145,2902,5418,763,1982,3885,2,3414,2602,4869,1677,2990,1048,1799,3704,4893,446,2332,1431,19618,47,1757,3745,2951,2726,7964,1181,51,59,5830,3162,3496,2569,1873,1014,37,1758,4572,4899,1870,25,3721,4427,469,22,1077,1883,2065,3780,3768,797,625,111,4881,2,903,2003,290,3743,47,1938,4192,2454,4190,1320,2459,1432,253,50,2418,235,653,217,1885,1137,31,1609,52,1797,2222,2955,2705,1371,3683,3909,1340,278
Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins,133,3528,558,1953,332,519,1020,4465,6293,2118,423,570,974,2813,1703,21,1350,249,875,4239,1949,985,2156,3953,1749,4758,6675,609,59,5379,1810,1457,396,5,2330,2631,3079,1256,7456,2334,39,7041,6234,68,1421,3,4162,5089,19,4180,696,3552,52,91314,1397,3821,13,497,2201,100,85,2796,5840,713,1755,4216,1,3243,2479,4522,1643,2742,1026,1449,3815,5172,601,2083,1335,16572,31,1679,4355,2485,2098,8412,1115,54,39,6252,1815,3551,2238,1978,293,14,1507,5372,5148,1690,30,4227,4545,419,16,1046,1808,1744,3643,3665,419,306,91,5094,2,347,2160,185,2166,57,1955,1179,2218,3858,734,2637,1055,173,32,1984,217,377,145,1770,1117,6,1382,29,2185,1843,3817,3062,1506,4133,4703,1384,321
lsa-type ABC-F protein,20,503,110,268,55,112,278,647,798,525,85,120,206,400,338,12,260,24,143,604,364,106,299,552,371,757,1439,175,11,695,183,218,147,3,475,305,366,156,999,345,11,1049,947,26,235,0,457,806,2,571,164,537,11,13667,199,934,5,70,295,49,19,332,745,101,247,547,0,480,423,661,334,339,184,293,629,1138,75,249,316,2970,8,234,612,503,455,953,220,7,2,889,431,429,386,419,150,2,182,890,603,245,9,661,526,102,1,193,234,203,584,534,120,77,14,728,0,86,291,55,470,10,324,362,269,594,171,567,241,54,7,323,31,146,18,320,204,0,197,3,228,455,461,359,244,647,658,180,36
msr-type ABC-F protein,33,483,135,366,101,107,109,731,696,764,147,141,724,415,420,11,436,44,109,621,266,136,344,578,297,532,1681,221,20,839,255,278,213,1,470,429,455,169,630,306,21,905,652,27,314,6,377,813,0,572,193,528,10,13399,392,519,0,99,157,75,25,441,858,124,313,607,3,647,458,497,192,355,138,300,338,916,60,268,475,2267,14,510,487,348,632,736,103,13,4,1107,648,672,482,261,384,3,161,416,817,205,8,632,537,87,12,205,251,184,509,595,453,122,101,862,0,144,237,35,655,5,259,646,258,563,185,278,198,21,4,367,38,128,47,277,140,3,292,9,482,330,599,395,335,515,636,130,79
glycopeptide resistance gene cluster;vanS,62,417,235,246,147,126,121,697,809,729,176,153,262,443,240,13,504,41,103,472,296,225,288,427,492,666,2100,344,6,556,229,168,204,3,478,486,481,130,758,294,23,883,1168,33,422,1,762,739,7,598,191,601,14,9529,301,841,18,121,361,109,23,295,539,93,227,373,0,481,469,728,251,361,188,348,525,828,56,380,454,3786,18,389,511,435,833,1154,120,19,4,926,469,422,202,246,311,12,178,703,519,266,19,612,511,121,7,187,351,247,529,405,230,95,25,560,3,159,198,55,226,15,300,1422,227,438,166,377,400,33,9,304,29,101,34,413,167,3,173,19,280,362,590,569,334,674,524,190,45
Cfr 23S ribosomal RNA methyltransferase,34,1097,188,600,101,148,411,1227,2347,585,79,178,308,985,565,3,380,86,241,1440,681,250,626,1330,490,1420,1986,161,18,1918,554,478,111,1,682,698,1005,399,2629,815,12,2373,1931,11,346,0,1431,1768,9,1478,175,1047,8,26606,468,1315,2,153,704,20,12,892,2042,295,600,1349,0,1022,658,1588,543,1024,308,411,1027,1624,169,699,276,5446,16,573,1331,872,658,2691,384,11,19,2097,586,1104,491,642,72,4,532,1620,1764,665,2,1104,1598,144,2,323,511,607,1188,1412,82,64,16,1597,3,98,750,29,632,9,696,283,776,1183,225,801,303,42,19,673,75,105,39,594,384,5,492,12,684,598,1068,898,241,1258,1361,531,85
glycopeptide resistance gene cluster;vanR,318,3042,859,1500,493,682,863,3869,5329,2991,764,612,1245,2561,1408,29,1973,245,593,3046,1871,838,1410,2925,2223,3972,8114,1137,90,3780,1123,1243,752,11,2533,2376,2720,916,6291,1900,125,5180,5335,170,1985,15,3558,4318,23,3924,983,3507,43,68759,1561,4286,13,552,1785,357,141,2069,3905,588,1468,2855,2,3152,2558,4077,1433,2428,911,1734,3051,4861,463,2157,2200,17781,45,1531,2962,2884,3438,6583,954,37,51,5643,2053,2556,1655,1605,1154,65,1219,4316,3534,1437,82,3455,3488,662,32,1069,1674,1690,3635,2796,917,499,162,3697,11,747,1203,244,1458,49,1847,6082,1895,3207,720,2663,1634,289,67,1946,152,512,188,1962,1027,12,1130,87,1848,1944,2725,2740,2096,3841,3459,1254,267
sulfonamide resistant sul,46,827,240,464,133,173,253,1597,1654,724,166,159,275,810,460,10,445,54,309,1040,719,369,517,946,585,1239,2048,244,20,1403,455,447,147,2,578,933,724,274,1862,505,17,2136,1839,48,535,0,1529,1415,12,1273,215,929,20,23753,381,933,1,278,751,30,35,627,1389,192,572,909,0,963,690,1315,425,814,240,542,1169,1476,151,643,381,5677,17,424,1160,808,626,2475,286,10,9,1823,656,761,593,523,186,14,404,1393,1236,520,4,928,1110,88,8,411,609,508,826,1035,141,135,16,1386,1,158,525,41,699,15,612,679,517,892,217,771,275,55,13,495,66,125,58,560,242,1,323,13,478,572,1084,1100,247,1310,1110,447,75
pmr phosphoethanolamine transferase,98,3027,301,1677,190,666,1075,3409,6426,1585,355,543,1097,2705,1664,34,1338,220,704,4345,1924,621,1793,3536,1413,3935,5779,548,75,4643,1305,1139,418,5,2636,1358,3013,1027,7364,2345,58,5549,5546,46,1150,1,3166,5206,32,3989,560,2904,20,95300,1055,3968,17,192,1397,52,57,2407,5122,678,1812,3673,10,3160,1971,4170,1776,2530,862,1298,3607,4767,398,1865,1051,12257,25,1133,3245,2788,1559,6053,1036,50,52,4899,1293,2959,1973,2099,152,22,1580,6060,4335,1415,24,4425,4408,278,11,1088,1229,1649,3721,3107,313,230,105,5013,4,264,1651,95,1621,38,1490,661,2346,3576,641,2087,1038,123,20,1631,272,276,148,1459,1078,5,1114,23,1880,1572,2058,1510,1106,3345,4001,1230,193
Van ligase;glycopeptide resistance gene cluster,84,3179,406,1909,230,552,1139,3563,7153,1558,188,509,594,3006,2000,20,1251,218,801,4312,1993,804,1709,3771,1541,3992,6172,431,40,5296,1499,1154,191,0,2195,2184,3154,1186,8166,2464,60,6132,4937,49,1095,5,3546,5517,12,4393,487,3088,15,89597,1144,3910,3,380,1839,96,25,2701,5531,749,2027,4317,0,3148,1884,4547,1735,2717,864,1117,3530,5102,502,1893,801,14162,30,1476,3455,2646,1988,7243,1004,60,46,6172,1295,3565,1956,1806,285,10,1687,5140,5218,1645,17,4175,4480,238,3,990,1388,1974,3609,3797,350,257,40,4943,5,237,1740,75,1584,19,1626,902,2401,3616,628,2693,983,112,34,1686,305,239,157,1685,1115,9,1297,29,1891,1590,2792,2458,1325,3132,4230,1385,196
trimethoprim resistant dihydrofolate reductase dfr,42,741,165,380,101,143,180,953,1187,800,148,145,222,700,376,5,528,48,219,754,422,233,421,765,386,880,2037,488,14,945,341,372,171,0,656,646,621,231,1355,518,18,1485,1478,15,417,0,1065,1110,5,776,130,695,7,16319,352,1050,4,196,576,167,27,515,1108,137,423,763,6,745,568,1028,370,632,202,385,856,1105,93,529,335,4227,11,453,777,534,797,1824,240,8,8,1411,615,655,407,489,303,3,315,926,902,329,8,1005,868,99,4,227,511,392,773,727,240,148,24,858,0,201,380,36,570,17,449,868,451,731,246,494,295,47,2,398,51,111,54,487,260,9,299,9,385,394,759,793,598,818,938,301,69
undecaprenyl pyrophosphate related proteins,21,832,136,413,115,205,272,1055,1480,911,145,149,230,854,369,9,595,58,285,1076,548,268,524,987,568,1179,2245,268,21,1274,414,324,139,1,727,601,901,318,1789,621,21,1714,1687,35,502,1,1153,1470,4,1208,198,937,10,21629,419,1131,7,143,558,88,13,731,1425,179,457,922,0,913,704,1248,520,742,289,403,974,1262,135,631,342,4085,6,514,964,722,940,1926,273,10,12,1661,535,908,539,484,170,13,424,1360,1295,487,3,1188,1170,82,7,291,491,521,1143,1075,220,114,24,1287,0,96,523,46,440,5,490,882,590,1011,213,615,304,42,15,414,93,112,44,494,256,0,382,5,630,579,743,667,492,972,1275,334,94
RCP beta-lactamase,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kdpDE,93,2416,793,1212,408,377,597,1875,2957,1312,705,365,825,1584,1005,14,1757,232,484,3069,1181,543,1051,2615,1532,2252,7382,879,55,3120,885,674,372,5,2492,929,2106,757,3857,1453,120,3850,5291,57,1174,5,2551,2990,8,2456,598,1766,37,61535,1276,3923,8,314,880,114,107,1595,3060,519,1175,2514,4,1855,1626,2290,952,1486,585,1152,2182,3885,265,1286,678,14326,8,1339,2417,1730,2731,3177,706,26,19,3040,1175,2171,996,986,1545,38,714,3315,3029,945,34,3677,2582,192,25,509,1257,893,2611,2448,437,561,87,3290,2,976,974,62,758,26,1059,7986,1156,2423,629,1628,1805,190,44,1160,149,216,68,988,667,5,919,39,1467,906,1472,1361,601,2158,2547,687,202
