,SoS091a_CP04272_S249_L001,SoS055a_CP04272_S217_L001,UG006_CP04272_S262_L001,SoS042a_CP04272_S215_L001,SoS036a_CP04272_S211_L001,9B1L_CP04272_S278_L001,SoS024a_CP04272_S197_L001,SoS070a_CP04272_S227_L001,SoS078b_CP04272_S236_L001,SoS017a_CP04272_S191_L001,SoS098b_CP04272_S252_L001,P060_CP04272_S338_L001,P006_CP04272_S287_L001,SoS002a_CP04272_S177_L001,P012_CP04272_S291_L001,P031_CP04272_S310_L001,SoS081a_CP04272_S241_L001,P043_CP04272_S322_L001,SoS008a_CP04272_S185_L001,P026_CP04272_S305_L001,UG004_CP04272_S260_L001,SoS025a_CP04272_S199_L001,SoS098a_CP04272_S251_L001,SoS079b_CP04272_S238_L001,SoS017b_CP04272_S192_L001,SoS008b_CP04272_S186_L001,SoS081b_CP04272_S242_L001,SoS014a_CP04272_S189_L001,P009_CP04272_S288_L001,SoS042b_CP04272_S216_L001,SoS065b_CP04272_S224_L001,UG005_CP04272_S261_L001,SoS035a_CP04272_S209_L001,P004_CP04272_S285_L001,P018_CP04272_S297_L001,UG001_CP04272_S257_L001,SoS006b_CP04272_S184_L001,2B1L_CP04272_S276_L001,SoS078a_CP04272_S235_L001,SoS006a_CP04272_S183_L001,P041_CP04272_S320_L001,SoS065a_CP04272_S223_L001,P024_CP04272_S303_L001,P033_CP04272_S312_L001,SoS036b_CP04272_S212_L001,P055_CP04272_S333_L001,P010_CP04272_S289_L001,P001_CP04272_S282_L001,P019_CP04272_S298_L001,SoS018a_CP04272_S193_L001,SoS091b_CP04272_S250_L001,SoS018b_CP04272_S194_L001,P015_CP04272_S294_L001,P036_CP04272_S315_L001,SoS005b_CP04272_S182_L001,P056_CP04272_S334_L001,P051_CP04272_S330_L001,SoS082b_CP04272_S244_L001,SoS039b_CP04272_S214_L001,P023_CP04272_S302_L001,P034_CP04272_S313_L001,SoS077a_CP04272_S233_L001,SoS011b_CP04272_S188_L001,SoS033a_CP04272_S207_L001,P003_CP04272_S284_L001,SoS077b_CP04272_S234_L001,P057_CP04272_S335_L001,SoS082a_CP04272_S243_L001,SoS075a_CP04272_S231_L001,SoS039a_CP04272_S213_L001,UG009_CP04272_S263_L001,SoS031b_CP04272_S206_L001,SoS014b_CP04272_S190_L001,SoS075b_CP04272_S232_L001,P046_CP04272_S325_L001,P017_CP04272_S296_L001,P021_CP04272_S300_L001,SoS004a_CP04272_S179_L001,16B1NL_CP04272_S343_L001,P044_CP04272_S323_L001,P053_CP04272_S332_L001,SoS005a_CP04272_S181_L001,SoS087b_CP04272_S248_L001,9B1NL_CP04272_S279_L001,SoS035b_CP04272_S210_L001,SoS025b_CP04272_S200_L001,P029_CP04272_S308_L001,P059_CP04272_S337_L001,P025_CP04272_S304_L001,SoS027b_CP04272_S202_L001,SoS085b_CP04272_S246_L001,SoS069a_CP04272_S225_L001,P040_CP04272_S319_L001,UG010_CP04272_S264_L001,P042_CP04272_S321_L001,P013_CP04272_S292_L001,SoS004b_CP04272_S180_L001,P058_CP04272_S336_L001,SoS011a_CP04272_S187_L001,SoS063b_CP04272_S222_L001,P038_CP04272_S317_L001,P050_CP04272_S329_L001,SoS063a_CP04272_S221_L001,P027_CP04272_S306_L001,P011_CP04272_S290_L001,P032_CP04272_S311_L001,SoS087a_CP04272_S247_L001,SoS073a_CP04272_S229_L001,P020_CP04272_S299_L001,SoS069b_CP04272_S226_L001,17B1NL_CP04272_S273_L001,SoS085a_CP04272_S245_L001,P005_CP04272_S286_L001,P048_CP04272_S327_L001,P045_CP04272_S324_L001,SoS080a_CP04272_S239_L001,SoS024b_CP04272_S198_L001,P037_CP04272_S316_L001,SoS070b_CP04272_S228_L001,P049_CP04272_S328_L001,SoS055b_CP04272_S218_L001,SoS060a_CP04272_S219_L001,SoS002b_CP04272_S178_L001,SoS023a_CP04272_S195_L001,SoS100a_CP04272_S255_L001,P022_CP04272_S301_L001,SoS060b_CP04272_S220_L001,P016_CP04272_S295_L001,P035_CP04272_S314_L001,SoS023b_CP04272_S196_L001,P047_CP04272_S326_L001,17B1L_CP04272_S344_L001,P002_CP04272_S283_L001,UG003_CP04272_S259_L001,SoS100b_CP04272_S256_L001,P039_CP04272_S318_L001,SoS079a_CP04272_S237_L001,P030_CP04272_S309_L001,2B1NL_CP04272_S277_L001,P028_CP04272_S307_L001,SoS099a_CP04272_S253_L001,SoS099b_CP04272_S254_L001,P052_CP04272_S331_L001,SoS080b_CP04272_S240_L001,UG002_CP04272_S258_L001,SoS073b_CP04272_S230_L001,P014_CP04272_S293_L001
tetracycline inactivation enzyme,0.002649709,0.00030974,0.003851416,0.000215724,0.002299732,0.002449803,9.75E-05,0.000918932,2.96E-05,0.001883907,0.004977677,0.001466913,0.001514413,0.000304741,0.000756835,0.00177305,0.001619494,0.001579571,0.000781764,0.000416201,0.000508317,0.002621535,0.002119642,0.000292406,0.005384184,0.000775194,0.001637644,0.000831831,0.002632734,7.19E-05,0.000902395,0.000632742,0.003826474,0,0.002739911,0.000198313,0.000474941,0.000192759,0,0.000238523,0.008471455,0.000516937,0.003512979,0.001869159,0.003420017,0.008368201,0.001877833,6.43E-05,0.001666667,0.000944968,0.002296023,0.000878089,0.000625,1.31E-05,0.000808202,0.000746122,0,0.001330318,0.001349399,0.001736488,0.006380807,0,0.000380654,0.001045661,5.71E-05,1.91E-05,0,0.000378472,0.001085322,0.000420456,0.000332633,0.000435558,0.00130599,0.000700853,0.000242087,0.001680409,0.003568773,0.000272313,0.001691643,0.001159519,0.000681663,0.00034662,0.002917309,0.001031966,0.000897473,0.000579936,0.002478881,0.001967213,0.005344021,6.84E-05,0.000757089,8.84E-05,0.000433846,9.04E-05,0.007265396,0.004051864,0.000196676,0.000171531,0.000226678,0.001332903,0.000751315,0.001893671,0.00010109,0.001443314,0.00456621,0.000376011,0.002341343,4.07E-05,0.000219315,9.09E-05,0.000590073,0.001586973,0.001030131,2.26E-05,0,0.004794206,0.002220266,0.004049266,0.000882327,0.001331558,0.000306736,0.009840568,0.000538222,0.000223229,0.00144922,0.001674766,0.004975632,0.001301871,0.002431611,0.000424133,0.000283086,0.000136221,0.000522284,0.000630842,0.000641169,0.002212389,0.000466031,0.002850627,0.00075478,0.000579568,0.000113774,0.000506916,0.00220797,0.001076976,9.25E-05,0.000828661,0.001817975
RbpA bacterial RNA polymerase-binding protein,0.003886239,0.003919809,0.004611564,0.003196643,0.003909544,0.002497838,0.00308662,0.003987658,0.003404845,0.001602544,0.000769744,0.003911768,0.002720809,0.00418104,0.002750448,0.007092199,0.002297422,0.003027511,0.00464944,0.003303592,0.003488107,0.00543583,0.002898656,0.003859762,0.001938947,0.004420254,0.003186287,0.001143768,0.003510312,0.003459212,0.004365641,0.003918133,0.001290323,0.003875969,0.002523957,0.005827346,0.003431448,0.004529829,0.003795783,0.003243914,0.001841621,0.003401776,0.002631946,0.001401869,0.002452088,0,0.004342488,0.003710748,0,0.003556518,0.003075031,0.003563406,0.00375,0.003642043,0.002540064,0.002599128,0,0.00744978,0.006937053,0.000434122,0.001276161,0.003093938,0.003619678,0.002838221,0.002914341,0.002982742,0.037037037,0.004238892,0.003334423,0.004064404,0.003263965,0.004165022,0.003282623,0.003075965,0.00403478,0.003524097,0.002379182,0.004237865,0.001323894,0.003791885,0,0.003389178,0.002963469,0.001467133,0.001723148,0.004675415,0.0029029,0.000655738,0.004008016,0.005420863,0.00231412,0.003235996,0.002277693,0.00289174,0.000456465,0.004862237,0.004056446,0.003587867,0.003329816,0.004084704,0.008264463,0.003119969,0.003824575,0.004474273,0.007305936,0.001974055,0.004723763,0.003605622,0.003985811,0.003374385,0.000971885,0.002276961,0.000772599,0.003602707,0,0.001122048,0.003866325,0.003543108,0.002308756,0.002663116,0.004048914,0.00064573,0.00332719,0.003445498,0.001067846,0.003212256,0.002628154,0.002441009,0,0.004524087,0.005661713,0.000612996,0.00295961,0.004836459,0.002532619,0,0.003495236,0.001710376,0.003975176,0.00482973,0.00518305,0.006430589,0.00225303,0.004508698,0.004525115,0.003259398,0.00363595
lincosamide nucleotidyltransferase (LNU),0.002119767,0.002552682,0.003547357,0.005000883,0.004446148,0.002449803,0.001851972,0.002596614,0.005412223,0.003156156,0.004618464,0.002662175,0.002464129,0.005119641,0.002178207,0.006205674,0.002429241,0.002369356,0.002674457,0.004977066,0.002699339,0.003469679,0.003532737,0.004590778,0.003381139,0.003100775,0.002318513,0.003050049,0.0039491,0.005774943,0.005170479,0.00296902,0.002046719,0,0.002820894,0.003844218,0.00626922,0.005525749,0.005428378,0.005088492,0.002209945,0.003774193,0.003535283,0.002102804,0.002839259,0,0.003827889,0.002766974,0,0.004398399,0.003731037,0.004257709,0.00125,0.003498062,0.005357225,0.002730314,0,0.002128509,0.004029193,0.004124159,0.002552323,0.005865883,0.005093849,0.003634915,0.004933427,0.005774894,0,0.005017464,0.0027983,0.005144398,0.002411592,0.003430018,0.001764851,0.002219367,0.001956868,0.002149835,0.002750929,0.004527197,0.003309736,0.002646337,0.004771643,0.004679376,0.004505211,0.002660732,0.004642926,0.004305898,0.002315796,0.002622951,0.004676019,0.004419993,0.003056925,0.006438858,0.003439781,0.002313392,0.004488569,0.001620746,0.005580686,0.002987507,0.005518427,0.004944642,0,0.004246161,0.004936566,0.002886628,0.005479452,0.003979445,0.003573629,0.005194541,0.002116866,0.005304048,0.003158625,0.002552957,0.002317796,0.00446193,0,0.004335186,0.003521801,0.003205669,0.002588159,0.001997337,0.002228948,0.003310505,0.004322085,0.002290528,0.002478929,0.002374873,0.002755735,0.002115541,0.068693009,0.002173683,0.004953999,0.003814194,0.002089136,0.00252337,0.002404386,0,0.005385253,0,0.00422677,0.002722211,0.003299454,0.002925628,0.002463313,0.00254641,0.004340073,0.005137696,0.001136235
NmcA beta-lactamase,0.001059883,3.20E-05,0.000405412,9.81E-05,0.000229973,0.001921414,0,5.90E-05,0,0.000440394,0.000769744,0.00021732,0.001591417,0,1.85E-05,0.00177305,0,0.000263262,4.11E-05,0,1.75E-05,0.000154208,3.62E-05,0,0.000608926,0.000263896,0,6.93E-05,0,7.19E-06,0,0.00038938,0.000355951,0,0.000283439,1.53E-05,1.19E-05,6.43E-05,0,0,0.000736648,3.34E-05,0.000167285,0.001401869,0.000150567,0,9.93E-05,0,0,0.000111678,0.000328003,0.00031652,0.00125,2.82E-05,0.000184732,1.64E-05,0.00311042,0.000133032,0,0,0.002041858,0,0,4.98E-05,3.81E-05,0,0,4.33E-05,0.000745342,0,0.000145527,9.53E-05,0.000105891,0.000798193,4.03E-05,0,0,0.000102117,0.001967454,2.79E-05,0.00408998,1.93E-05,0,0.000310833,0.000263259,0,0,0,0,3.73E-05,0.000414256,0,0.000154945,0.000668715,0.000114116,0.001620746,7.38E-05,0,0,2.15E-05,0,3.34E-05,4.21E-05,0.000144331,0,6.27E-05,8.22E-05,2.04E-05,0.000238386,0,0.000242971,0.000965984,0.001287664,0,0.003225806,0,1.91E-05,0.000506158,2.94E-05,0.000665779,2.04E-05,1.82E-05,1.63E-05,0,7.63E-05,0,0,0,0.002431611,3.53E-05,0,0.000340553,0.000696379,0,6.41E-05,0,0.000155344,0.003420753,0.000251593,0.000122939,0,7.24E-05,0.000540727,0.000264681,8.41E-05,5.52E-05,0.000113623
sal-type ABC-F protein,0.005476064,0.009890309,0.010236659,0.008491695,0.005442698,0.007973869,0.009779713,0.010799555,0.008290057,0.008330785,0.006671114,0.008910138,0.006596679,0.008581494,0.008509774,0.007978723,0.007815001,0.009345794,0.010985846,0.00789047,0.009850835,0.012567948,0.008514801,0.008723452,0.006602035,0.008634339,0.007502904,0.006966588,0.003510312,0.00900402,0.008731281,0.007641576,0.002892102,0.015503876,0.008773114,0.010800421,0.008038375,0.00841713,0.008489493,0.007791753,0.0106814,0.009215924,0.005849388,0.005841121,0.008668344,0.008368201,0.008991929,0.009216096,0.015,0.00828136,0.008282083,0.007320809,0.006875,0.008752523,0.006696532,0.007936768,0.01244168,0.011041639,0.010415083,0.005100933,0.003318019,0.008441831,0.008429766,0.008863218,0.009181127,0.008195393,0,0.00908334,0.007675711,0.009612769,0.009771107,0.009800052,0.009565494,0.007826189,0.008785733,0.008177538,0.005427509,0.008816121,0.006031075,0.009483705,0.005453306,0.006585789,0.006896297,0.007049696,0.007383209,0.009848652,0.006490753,0.009180328,0.004008016,0.010139252,0.008042283,0.008835483,0.007034506,0.009813844,0.003651717,0.003241491,0.008457075,0.008819577,0.008543401,0.008986348,0.012772352,0.007958423,0.008601082,0.004402107,0.010958904,0.007050197,0.009324297,0.009390915,0.008515142,0.007748962,0.002776814,0.006140896,0.001545197,0.008260601,0,0.004845208,0.007847491,0.007254935,0.00833799,0.009320905,0.011615067,0.004156321,0.007763443,0.009142702,0.006330804,0.008566016,0.007016917,0.008787632,0.007294833,0.008659386,0.008067941,0.009058711,0.009401114,0.009883199,0.00820697,0.017699115,0.006835128,0.003990878,0.008436766,0.009378458,0.010012136,0.012426678,0.004941647,0.009638026,0.008133432,0.009943927,0.006817407
GOB beta-lactamase,0.000706589,0.002274985,0.002128414,0.002922084,0.002836336,0.002305697,0.002274352,0.001804141,0.003831191,0.000782923,0.00082106,0.001955884,0.000795708,0.002986457,0.002455098,0,0.002014952,0.003948927,0.00209842,0.002783342,0.002383832,0.001542079,0.003206638,0.003119,0.002211361,0.002366815,0.002149408,0.001767642,0.001755156,0.002840725,0.003438857,0.002263269,0.000711902,0,0.002388986,0.001784815,0.004250721,0.003244771,0.003652931,0.003355224,0.000368324,0.002568008,0.002024145,0,0.001634725,0,0.002726468,0.003682148,0,0.002860677,0.000943009,0.002409639,0,0.002290644,0.001939685,0.003066479,0.00622084,0.001197286,0.002831838,0.001085305,0,0.00298194,0.003142129,0.002141114,0.003066725,0.003240039,0,0.00284395,0.001438379,0.003363645,0.003950022,0.00310335,0.002717871,0.001421174,0.002289738,0.002524016,0.003494424,0.002484853,0.000330974,0.002209272,0.00408998,0.001848642,0.002557261,0.002772632,0.002165901,0.002663601,0.0029029,0.002622951,0.002004008,0.00256745,0.000957074,0.003147641,0.00171989,0.002638713,0.000456465,0.000810373,0.003294326,0.002472912,0.002806112,0.003762227,0.000751315,0.002594412,0.003041127,0.000288663,0,0.001598045,0.002423496,0.003727847,0.002536425,0.002899546,0.000451232,0.001586973,0.001030131,0.002585206,0,0.000969042,0.003043295,0,0.001749949,0.001331558,0.002228948,0.001273271,0.00335981,0.00301845,0.002250105,0.002237597,0.003444668,0.000976404,0.002431611,0.002438766,0.003113942,0.001907097,0.001740947,0.002905699,0.0037829,0,0.003158658,0.002280502,0.002381751,0.002265582,0.002882282,0.00183938,0.001682263,0.002199587,0.002598997,0.00328702,0.002386092
antibiotic-resistant murA transferase,0.004062886,0.000256336,0.001013531,0.000274558,0.003602913,0.000528389,0,9.27E-05,2.37E-05,0.00193284,0.001950018,0.001466913,0.000590364,0.000231603,3.69E-05,0.00177305,0.001111048,0.000526524,0.000164582,5.20E-05,0.000157754,0.000539728,0.000289866,7.80E-05,0.001842801,0.000206169,0.000858873,0.002703452,0.005265467,5.75E-05,4.88E-05,7.30E-05,0.003870968,0,0.00051289,0.000152548,0.000106862,0.000160632,0,0.000190818,0.000368324,8.34E-05,0.000490702,0.001635514,0.00092491,0,0.000153477,4.29E-05,0,0.000429531,0.002501025,0.001950174,0.003125,4.00E-05,0.003486815,0.000401758,0,0.000532127,7.60E-05,0.001410896,0.001276161,5.60E-05,0,0.000199173,5.71E-05,9.53E-06,0,0.000410913,0.0030729,0.00015664,0.00049895,0.000176945,7.06E-05,0.003679477,0.000181565,0.000238115,0.000148699,0.000833957,0.007741105,0.000261441,0.005453306,0.003446948,0.000193872,0.000547066,0.002237699,2.57E-05,0.000293552,0.000655738,0.001336005,3.11E-05,0.001457039,6.63E-05,0.00030989,0.000180734,0.001673704,0.001620746,0.000221261,2.14E-05,0,0.000193486,0,0.000158501,5.90E-05,0.001226817,0,0.001942721,0.000308071,6.11E-05,0.000295598,5.05E-05,0.001735509,0.001862968,0,4.52E-05,0,0.001785077,0.000114841,0.006242619,2.94E-05,0,0.000511227,0.002992188,4.89E-05,0.000329991,0.000190687,0.000356917,0.000918578,0.000488202,0.001215805,0.000565511,0.000283086,0.000953549,0.000870474,0.000458795,0.000224409,0,0.001579329,0,0.000603824,0.000439066,6.32E-05,0.000159316,0.000811091,0.000365077,5.89E-05,2.76E-05,0
General Bacterial Porin with reduced permeability to peptide antibiotics,0.001059883,0.000117487,5.07E-05,3.92E-05,0.000383289,0.000576424,0,6.74E-05,0,0.000134565,0.000307898,0.00021732,0.001334737,1.22E-05,0,0,0,0,8.23E-05,0,1.75E-05,3.86E-05,7.25E-05,9.75E-06,0.000592901,4.95E-05,0,0,0,0,2.44E-05,0.000146017,0.00160178,0,0,0,2.37E-05,0,0,0,0.000368324,5.00E-05,8.92E-05,0,0.000236605,0,5.42E-05,4.29E-05,0,9.45E-05,0.000492005,0.000204207,0.001875,1.01E-05,9.24E-05,0,0,0,0,0,0,0,6.92E-06,0,0.000114288,0,0,2.16E-05,5.23E-05,0,0.000103948,1.36E-05,3.53E-05,0.000253086,0,1.36E-05,0,5.11E-05,0.000735497,3.99E-06,0,0.000789524,0,0.000385433,0.000191461,0,6.52E-05,0,0,0,0.000871366,0,3.10E-05,0,0.00030431,0,0.000147507,5.72E-05,0,0.000150489,0.002253944,0,8.42E-06,0.002381468,0,0,0.000410762,0,3.81E-05,0,0,0.000275995,0.000772599,0,0,0,0,0.000506158,1.47E-05,0.001331558,0.000163592,0,4.89E-05,9.71E-06,0.000152549,0.000302007,0,0,0,1.77E-05,0.000283086,0.001702765,0,0.000554377,0,0,5.18E-05,0,0.000150956,7.03E-05,0,0,0.000495667,0.000173411,0,0,0
Outer Membrane Porin (Opr);resistance-nodulation-cell division (RND) antibiotic efflux pump,0.003532945,0.000491311,0.00233112,0.000411837,0.003602913,0.004803535,0.000129963,0.001551224,0.000373053,0.003046058,0.003181608,0.001412583,0.004722914,0.000585102,0.000719916,0.000886525,0.00128053,0.000131631,0.002016129,0.00040753,0.001209444,0.002043255,0.001431211,0.000594559,0.00298053,0.00146792,0.001174832,0.001178428,0.003071523,0.000481845,0.001097507,0.001825217,0.006941046,0,0.00134971,0.001739051,0.000724285,0.000417644,0.000204074,0.000445243,0.001841621,0.00111725,0.001951655,0.004205607,0.002667183,0.008368201,0.0017063,0.000836527,0.008333333,0.000902015,0.001599016,0.002052277,0.003125,0.000615076,0.003532998,0.000729724,0.00155521,0.002128509,0.001273377,0.001519427,0.007401736,0.000293994,0.000525995,0.001692974,0.000533343,0.000266827,0.024691358,0.000929961,0.002981366,0.000684271,0.000602898,0.001197784,0.001588366,0.003990967,0.00082713,0.000761967,0.001189591,0.00112329,0.006895284,0.00129922,0,0.002695937,0.001597134,0.001491999,0.002333429,0.001339499,0.000848038,0.003278689,0.002004008,0.001168718,0.001871295,0.000419685,0.001626923,0.000741008,0.001978014,0.002431118,0.000393352,0.000779039,0.000297026,0.001096421,0.003005259,0.000976033,0.000471754,0.003391788,0,0.002694742,0.001930581,0.00055001,0.001239606,0.00061628,0.001666088,0.00234596,0.002832861,0.000633112,0,0.002448105,0.001205834,0.007086216,0.000882327,0.000665779,0.001165596,0.001436978,0.000570841,0.00031058,0.000381374,0.001523762,0.001122707,0.001952807,0.003039514,0.001131022,0.000424628,0.003269309,0.003655989,0.001682247,0.000993813,0.004424779,0.001786454,0.003990878,0.001979202,0.001598202,0.001415858,0.00218698,0.002012707,0.002327364,0.000521482,0.001104881,0.001136235
glycopeptide resistance gene cluster;vanXY,0.000176647,6.41E-05,0,1.96E-05,0,0,0,2.53E-05,5.92E-06,8.56E-05,0.000205265,0.00010866,0.000154008,3.66E-05,0,0.000886525,5.65E-05,0,0,0,7.01E-05,0.000886696,1.81E-05,9.75E-06,6.41E-05,5.77E-05,0,0,0.000438789,0,0,4.87E-05,0.000222469,0,2.70E-05,0,0,0,0,1.59E-05,0,1.11E-05,0.000184013,0.000934579,0.000172076,0,0,2.86E-05,0.001666667,0.000188994,0.000287003,0.000347151,0,1.43E-05,0.000230915,0,0,6.65E-05,0,0.000434122,0.000510465,1.40E-05,0,0,0,0,0,1.08E-05,0.00033998,0,0,0,0,0.000545108,0,0,0.000148699,0.000102117,0.000827434,0,0,0.000154054,3.69E-05,0,0.000167528,0,0,0.000655738,0,0,0.00021427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000250674,2.05E-05,4.07E-05,9.54E-05,0,0.000416522,6.90E-05,0,0,0,0,1.91E-05,0.001181036,2.94E-05,0,8.18E-05,9.09E-05,1.63E-05,3.88E-05,0,9.61E-05,0,0,0,0,0,6.81E-05,0,0.000133815,3.21E-05,0,2.59E-05,0,0.000150956,0.000193189,0,0,0.000270364,5.48E-05,2.52E-05,0.000110488,0
chloramphenicol phosphotransferase,0.002296414,0.000213614,0.001368266,0.00015689,0.001226524,0.000384283,3.25E-05,0.00014332,1.78E-05,0.002997125,0.001282907,0.00021732,0.001232064,0.000280361,0.000221513,0.002659574,0.001186374,0.000394893,0.000205727,7.80E-05,8.76E-05,0.000269864,0.000326099,0.000224178,0.003092701,0.00035461,0.001157031,0.001490365,0,4.32E-05,2.44E-05,0,0.003070078,0.007751938,0.000823323,0.000350861,0.000296838,9.64E-05,4.59E-05,0.000349834,0.005156538,5.56E-05,0.000936794,0.00046729,0.002172463,0,0.000577795,8.58E-05,0,0.000403759,0.001886019,0.000775985,0.00375,5.22E-05,0.00279407,0.000524745,0,0.001197286,0.000152045,0.00434122,0.003318019,9.80E-05,0,0.000398347,1.90E-05,1.91E-05,0,0.000324405,0.001242236,5.77E-05,0.000270265,0.00034028,0.000211782,0.0017716,0.000121043,0.000836803,0.000297398,0.00110627,0.003107474,0.000906061,0.000681663,0.001790872,0.000544687,0.0001865,0.001232529,2.57E-05,9.79E-05,0,0.004676019,0.000416511,0.000728519,6.63E-05,0.000356374,0.000361468,0.003309369,0,0.000245845,5.72E-05,4.69E-05,0.000107492,0.002253944,0.000917638,0.000117938,0.00317529,0.002739726,0.000407345,0.0004313,4.07E-05,0.000371882,7.07E-05,0.001909059,0.001379977,0,0,0,0.004284184,0.000363664,0.002362072,0.000102938,0.001331558,2.04E-05,0.005174938,1.63E-05,0.000194113,0.000610198,0.000947204,0.00181164,0.001952807,0.001215805,0.0009543,0.000424628,6.81E-05,0.001044568,0.000669075,0.000577053,0.004424779,0.000880282,0.001710376,0.000905736,0.001967017,0.000164341,0.000188283,0.000781051,0.000574996,5.05E-05,2.76E-05,0
multidrug and toxic compound extrusion (MATE) transporter,0.0063593,5.34E-05,5.07E-05,0.000313781,0.000459946,0.000240177,0.000162454,0.000261348,4.74E-05,0.00050156,0.001077642,0.00021732,0.006519675,7.31E-05,0.000239972,0.005319149,0.000433121,0.000263262,0.000370309,0,0.000438204,0.000501176,0.000217399,0,0.001137729,0.000222662,0.000133504,0.000415916,0.003510312,8.63E-05,0.000121945,0.000243362,0.010055617,0,0.000148468,0.000167803,0.000118735,0.000192759,0,3.18E-05,0.000368324,6.67E-05,0.00057992,0.006542056,0.000559248,0.008368201,6.32E-05,7.86E-05,0.013333333,0.000292081,0.001804018,0.000520727,0.0025,7.24E-05,0.000438738,0.000106589,0,0.000199548,9.50E-05,0.000434122,0.004849413,0,2.08E-05,0.000348554,1.90E-05,0,0,0.000140575,0.00078457,8.24E-06,0.000374213,0.000435558,0.000600049,0.001382237,0.00013113,2.04E-05,0.000371747,0.000510586,0.00421072,0.00019159,0.001363327,0.000365877,3.69E-05,0.000683833,0.000945338,2.57E-05,0.000358785,0.002622951,0.000668003,4.35E-05,0.001299907,9.94E-05,0.000325385,0.000307247,0.000342349,0.022690438,2.46E-05,0,0,2.15E-05,0.002253944,2.50E-05,1.68E-05,0.00418561,0.001826484,0.002444068,0.000842062,4.07E-05,0.000276528,1.01E-05,0.001006595,0.000413993,0.002060263,3.01E-05,0.006451613,0.000153007,9.57E-05,0.002362072,0.000117644,0,0.000163592,0.00043655,3.26E-05,9.71E-05,0.000457648,0.0007962,0.000178612,0.001464605,0.021276596,0.000212067,0,0.001294102,0.002611421,0.00080289,0.000352643,0.008849558,0.000181234,0.002280502,0.000821872,0.000702506,0.000189624,5.79E-05,0.000465626,0.000246427,0.000243919,0,0.000568117
CAR beta-lactamase,0.000176647,0,0,0,0,0.00072053,0,0,0,0.000281363,0.000102633,0,0.000102672,0,0,0,0,0,0,0,3.51E-05,3.86E-05,0,0,0.000352536,5.77E-05,0,0,0,0,0,0,0,0,0,0,1.19E-05,0,0,0,0,0,3.35E-05,0,8.60E-05,0,9.03E-06,1.43E-05,0,7.73E-05,0.000123001,9.19E-05,0.00125,2.10E-06,2.31E-05,0,0,0,5.70E-05,0,0,0,0,0,0,0,0,0,5.23E-05,0,0,0,3.53E-05,3.89E-05,0,0,0,0,0.000165487,0,0,0.000192567,9.23E-06,0.000285967,0,0,0,0,0,0,0.000171416,0,0.000108462,0,0.000152155,0,0,0,0,2.15E-05,0,0,0,7.22E-05,0,3.13E-05,0,0,9.54E-06,0,0,0.000137998,0,0,0.009677419,0,0,0.000168719,0,0,0,0,0,0,0,0,2.55E-05,0,0,3.53E-05,0,0.000340553,0,0,0,0.002212389,0,0,0,1.76E-05,0,0,0,0.000127777,0,0,0
POM beta-lactamase,0.000353294,0,0,0,0,9.61E-05,0,0,0,0,0,0,0,0,0,0,1.88E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60E-05,0,0,0,4.97E-05,0,0,0,0,0.000668003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.47E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000570125,0,0,0,0,0,0,0,0,0
Erm 23S ribosomal RNA methyltransferase,0.007772478,0.003161481,0.003750063,0.002843639,0.004599463,0.002017485,0.00217688,0.00298442,0.002303452,0.003523151,0.00549084,0.002662175,0.003465181,0.003169302,0.003230392,0.009751773,0.006986423,0.00289588,0.003497367,0.002601254,0.004434629,0.005705694,0.00271749,0.002690137,0.004246455,0.004139865,0.00478833,0.018473589,0.003071523,0.002193471,0.003268133,0.003991142,0.00320356,0,0.003563234,0.00593413,0.002671543,0.002505863,0.003285597,0.003530141,0.001473297,0.003323958,0.003356846,0.004205607,0.003936246,0,0.004207067,0.003582051,0.013333333,0.004449942,0.00598606,0.003308148,0.00125,0.002918771,0.003902462,0.004755502,0,0.00518824,0.003554052,0.009008031,0.006891271,0.002645947,0.002955263,0.002639048,0.003219109,0.002534854,0,0.003600895,0.003949003,0.003446087,0.005301345,0.003321129,0.00331792,0.003932562,0.003358954,0.002646475,0.00267658,0.003352849,0.004265882,0.003943561,0.006816633,0.003042557,0.002769597,0.002461799,0.004559161,0.003890192,0.002446264,0.005901639,0.006012024,0.003269924,0.002485537,0.002120516,0.007917693,0.004699078,0.002776827,0.001620746,0.004031862,0.003702221,0.00236839,0.003848221,0.006761833,0.003253443,0.003057975,0.004257776,0,0.005107476,0.0034504,0.002688939,0.003099016,0.002828826,0.019298855,0.002552957,0.003347927,0.002886688,0,0.003774162,0.002354247,0.008098532,0.002396988,0.002663116,0.003333197,0.00333779,0.002935756,0.002940805,0.00434766,0.003802542,0.003138476,0.004393816,0.001215805,0.004453398,0.001981599,0.004699632,0.001915042,0.004282082,0.003013497,0.004424779,0.003469345,0.001140251,0.004629319,0.003898909,0.004437197,0.004373959,0.00367995,0.00444481,0.004676513,0.003176532,0.002840586
